Altium Designer Pick and Place Locations
E:\Clients\MOD Devices GmbH\MOD DUO X\Project Outputs for mod_duo_x\Pick Place for duo_x(PRODUCTION).csv

========================================================================================================================
File Design Information:

Date:       12/03/19
Time:       16:23
Revision:   Not in VersionControl
Variant:    PRODUCTION
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"R19B","10K","TopLayer","RESC1608N","31.0750","62.3640","180","RES SMD 10K OHM 5% 1/10W 0603"
"R20B","10K","TopLayer","RESC1608N","24.7250","63.8880","180","RES SMD 10K OHM 5% 1/10W 0603"
"R21B","10K","TopLayer","RESC1608N","24.7250","62.3640","360","RES SMD 10K OHM 5% 1/10W 0603"
"R24B","100K","BottomLayer","RESC1608N","61.1740","67.6910","180","RES SMD 100K OHM 5% 1/4W 0603"
"R27B","100K","BottomLayer","RESC1608N","64.7700","67.6910","360","RES SMD 100K OHM 5% 1/4W 0603"
"R46B","100K","BottomLayer","RESC1608N","58.4413","66.1670","360","RES SMD 100K OHM 5% 1/4W 0603"
"R13C","10K","TopLayer","RESC1608N","76.7793","81.0597","90","RES SMD 10K OHM 5% 1/10W 0603"
"R14C","390R","TopLayer","RESC1608N","85.2170","79.2480","360","RES 390 OHM 5% 1/10W 0603"
"R15C","330R","TopLayer","RESC1608N","85.2170","80.7720","360","RES SMD 330 OHM 1% 1/10W 0603"
"R16C","330R","TopLayer","RESC1608N","85.2170","82.2739","360","RES SMD 330 OHM 1% 1/10W 0603"
"R24C","100K","BottomLayer","RESC1608N","76.9240","67.6910","180","RES SMD 100K OHM 5% 1/4W 0603"
"R27C","100K","BottomLayer","RESC1608N","73.4459","67.6910","360","RES SMD 100K OHM 5% 1/4W 0603"
"R46C","100K","BottomLayer","RESC1608N","72.9110","76.7080","270","RES SMD 100K OHM 5% 1/4W 0603"
"R13D","10K","TopLayer","RESC1608N","4.7793","5.0597","90","RES SMD 10K OHM 5% 1/10W 0603"
"R14D","390R","TopLayer","RESC1608N","13.2880","3.5700","360","RES 390 OHM 5% 1/10W 0603"
"R15D","330R","TopLayer","RESC1608N","13.2880","5.0597","360","RES SMD 330 OHM 1% 1/10W 0603"
"R16D","330R","TopLayer","RESC1608N","13.2880","6.5500","360","RES SMD 330 OHM 1% 1/10W 0603"
"R24D","100K","BottomLayer","RESC1608N","-3.9370","6.0960","180","RES SMD 100K OHM 5% 1/4W 0603"
"R27D","100K","BottomLayer","RESC1608N","0.4243","-2.8647","270","RES SMD 100K OHM 5% 1/4W 0603"
"R46D","100K","BottomLayer","RESC1608N","-0.1270","6.0960","360","RES SMD 100K OHM 5% 1/4W 0603"
"R13E","10K","TopLayer","RESC1608N","42.7793","5.0597","90","RES SMD 10K OHM 5% 1/10W 0603"
"R14E","390R","TopLayer","RESC1608N","51.2880","3.5700","360","RES 390 OHM 5% 1/10W 0603"
"R15E","330R","TopLayer","RESC1608N","51.2880","5.0600","360","RES SMD 330 OHM 1% 1/10W 0603"
"R16E","330R","TopLayer","RESC1608N","51.2880","6.5500","360","RES SMD 330 OHM 1% 1/10W 0603"
"R24E","100K","BottomLayer","RESC1608N","34.0360","6.0960","180","RES SMD 100K OHM 5% 1/4W 0603"
"R27E","100K","BottomLayer","RESC1608N","38.2296","-2.8650","270","RES SMD 100K OHM 5% 1/4W 0603"
"R46E","100K","BottomLayer","RESC1608N","37.8460","6.0960","360","RES SMD 100K OHM 5% 1/4W 0603"
"R13F","10K","TopLayer","RESC1608N","80.7793","5.0597","90","RES SMD 10K OHM 5% 1/10W 0603"
"R14F","390R","TopLayer","RESC1608N","89.2880","3.5700","360","RES 390 OHM 5% 1/10W 0603"
"R15F","330R","TopLayer","RESC1608N","89.2880","5.0600","360","RES SMD 330 OHM 1% 1/10W 0603"
"R16F","330R","TopLayer","RESC1608N","89.2880","6.5500","360","RES SMD 330 OHM 1% 1/10W 0603"
"R24F","100K","BottomLayer","RESC1608N","72.1360","6.0960","180","RES SMD 100K OHM 5% 1/4W 0603"
"R27F","100K","BottomLayer","RESC1608N","76.3270","-2.8650","270","RES SMD 100K OHM 5% 1/4W 0603"
"R46F","100K","BottomLayer","RESC1608N","75.8807","6.0960","360","RES SMD 100K OHM 5% 1/4W 0603"
"R13G","10K","TopLayer","RESC1608N","118.7793","5.0597","90","RES SMD 10K OHM 5% 1/10W 0603"
"R14G","390R","TopLayer","RESC1608N","127.2880","3.5700","360","RES 390 OHM 5% 1/10W 0603"
"R15G","330R","TopLayer","RESC1608N","127.2880","5.0600","360","RES SMD 330 OHM 1% 1/10W 0603"
"R16G","330R","TopLayer","RESC1608N","127.2880","6.5500","360","RES SMD 330 OHM 1% 1/10W 0603"
"R24G","100K","BottomLayer","RESC1608N","110.1090","2.9210","180","RES SMD 100K OHM 5% 1/4W 0603"
"R27G","100K","BottomLayer","RESC1608N","111.1250","5.2070","180","RES SMD 100K OHM 5% 1/4W 0603"
"R46G","100K","BottomLayer","RESC1608N","113.7920","2.9210","360","RES SMD 100K OHM 5% 1/4W 0603"
"SW1","TL3315NF100Q","BottomLayer","TL3315","19.0526","107.9500","360","SWITCH TACTILE SPST-NO 0.05A 15V"
"SW2A","TL3305","TopLayer","TL3305","50.7163","76.0347","360","SWITCH TACTILE SPST-NO 50MA 12V"
"SW2B","TL3305","TopLayer","TL3305","65.7163","76.0347","360","SWITCH TACTILE SPST-NO 50MA 12V"
"SW2C","TL3305","TopLayer","TL3305","80.7163","76.0347","360","SWITCH TACTILE SPST-NO 50MA 12V"
"SW2D","TL3305","TopLayer","TL3305","8.7163","0.0347","360","SWITCH TACTILE SPST-NO 50MA 12V"
"SW2E","TL3305","TopLayer","TL3305","46.7163","0.0347","360","SWITCH TACTILE SPST-NO 50MA 12V"
"SW2F","TL3305","TopLayer","TL3305","84.7163","0.0347","360","SWITCH TACTILE SPST-NO 50MA 12V"
"SW2G","TL3305","TopLayer","TL3305","122.7163","0.0347","360","SWITCH TACTILE SPST-NO 50MA 12V"
"U1","LPC1777FBD208","BottomLayer","LQFP-208","65.6590","113.5380","45","IC MCU 32BIT 512KB FLASH 208LQFP"
"U2","MCP6001","BottomLayer","SOT23-5N","22.6175","98.5461","180","IC OPAMP GP 1MHZ RRO SOT23-5"
"U3","PCA9685","TopLayer","SOT788-1","65.1510","34.4170","0","IC LED DRVR LIN DIM 25MA 28HVQFN"
"U4","TPS62160","BottomLayer","SON50P200X75_HS-9N","129.6010","65.9090","360","Voltage Regulators - Switching Regulators 3V-17V 1A Automotiv Step-Down Converter"
"VR1A","PTV111-3415A","TopLayer","PTV111-3","8.7163","45.5347","360","POT 10K OHM 1/20W CARBON LINEAR"
"VR1B","PTV111-3415A","TopLayer","PTV111-3","46.7163","45.5347","360","POT 10K OHM 1/20W CARBON LINEAR"
"VR1C","PTV111-3415A","TopLayer","PTV111-3","84.7163","45.5347","360","POT 10K OHM 1/20W CARBON LINEAR"
"VR1D","PTV111-3415A","TopLayer","PTV111-3","122.7163","45.5347","360","POT 10K OHM 1/20W CARBON LINEAR"
"VR1E","PTV111-3415A","TopLayer","PTV111-3","8.7163","16.5347","360","POT 10K OHM 1/20W CARBON LINEAR"
"VR1F","PTV111-3415A","TopLayer","PTV111-3","46.7163","16.5347","360","POT 10K OHM 1/20W CARBON LINEAR"
"VR1G","PTV111-3415A","TopLayer","PTV111-3","84.7163","16.5347","360","POT 10K OHM 1/20W CARBON LINEAR"
"VR1H","PTV111-3415A","TopLayer","PTV111-3","122.7163","16.5347","0","POT 10K OHM 1/20W CARBON LINEAR"
"Y1","12Mhz","BottomLayer","CRYSTAL_HC49SDLF","41.2750","107.5690","315","CRYSTAL 12.0000MHZ 20PF SMD"
