Altium Designer Pick and Place Locations
E:\Clients\MOD Devices GmbH\MOD DUO X\Project Outputs for mod_duo_x\Pick Place for duo_x(PRODUCTION).csv

========================================================================================================================
File Design Information:

Date:       28/02/22
Time:       17:40
Revision:   Not in VersionControl
Variant:    PRODUCTION
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"R14A","560R","BottomLayer","RESC1608N","60.3843","83.9383","90","RES SMD 560 OHM 5% 1/10W 0603"
"R15A","470R","BottomLayer","RESC1608N","63.3400","83.9643","90","RES SMD 470 OHM 5% 1/10W 0603"
"R16A","470R","BottomLayer","RESC1608N","66.1221","84.0032","90","RES SMD 470 OHM 5% 1/10W 0603"
"R17A","10K","TopLayer","RESC1608N","123.0300","82.2960","270","RES SMD 10K OHM 5% 1/10W 0603"
"R18A","10K","TopLayer","RESC1608N","117.0750","63.8880","360","RES SMD 10K OHM 5% 1/10W 0603"
"R19A","10K","TopLayer","RESC1608N","117.0750","62.3640","180","RES SMD 10K OHM 5% 1/10W 0603"
"R20A","10K","TopLayer","RESC1608N","110.7250","63.8880","180","RES SMD 10K OHM 5% 1/10W 0603"
"R21A","10K","TopLayer","RESC1608N","110.7250","62.3640","360","RES SMD 10K OHM 5% 1/10W 0603"
"R24A","100K","BottomLayer","RESC1608N","49.8780","71.4795","180","RES SMD 100K OHM 5% 1/4W 0603"
"R27A","100K","BottomLayer","RESC1608N","49.8780","75.8800","180","RES SMD 100K OHM 5% 1/4W 0603"
"R46A","100K","BottomLayer","RESC1608N","49.8780","78.9940","180","RES SMD 100K OHM 5% 1/4W 0603"
"R13B","10K","BottomLayer","RESC1608N","72.5175","83.9383","90","RES SMD 10K OHM 5% 1/10W 0603"
"R14B","560R","BottomLayer","RESC1608N","75.2807","83.8993","90","RES SMD 560 OHM 5% 1/10W 0603"
"R15B","470R","BottomLayer","RESC1608N","77.7808","83.9383","90","RES SMD 470 OHM 5% 1/10W 0603"
"R16B","470R","BottomLayer","RESC1608N","80.2652","83.9383","90","RES SMD 470 OHM 5% 1/10W 0603"
"R17B","10K","TopLayer","RESC1608N","47.0840","82.2960","270","RES SMD 10K OHM 5% 1/10W 0603"
"R18B","10K","TopLayer","RESC1608N","41.0750","63.8880","360","RES SMD 10K OHM 5% 1/10W 0603"
"R19B","10K","TopLayer","RESC1608N","41.0750","62.3640","180","RES SMD 10K OHM 5% 1/10W 0603"
"R20B","10K","TopLayer","RESC1608N","34.7250","63.8880","180","RES SMD 10K OHM 5% 1/10W 0603"
"R21B","10K","TopLayer","RESC1608N","34.7250","62.3640","360","RES SMD 10K OHM 5% 1/10W 0603"
"R24B","100K","BottomLayer","RESC1608N","65.4990","70.7390","90","RES SMD 100K OHM 5% 1/4W 0603"
"R27B","100K","BottomLayer","RESC1608N","66.8621","74.2857","180","RES SMD 100K OHM 5% 1/4W 0603"
"R46B","100K","BottomLayer","RESC1608N","66.1221","76.8350","270","RES SMD 100K OHM 5% 1/4W 0603"
"R13C","10K","BottomLayer","RESC1608N","85.8190","82.0135","90","RES SMD 10K OHM 5% 1/10W 0603"
"R14C","560R","TopLayer","RESC1608N","102.6021","76.6045","270","RES SMD 560 OHM 5% 1/10W 0603"
"R15C","470R","TopLayer","RESC1608N","100.8810","76.6140","270","RES SMD 470 OHM 5% 1/10W 0603"
"R16C","470R","TopLayer","RESC1608N","99.1710","76.5810","270","RES SMD 470 OHM 5% 1/10W 0603"
"R24C","100K","BottomLayer","RESC1608N","81.3796","71.4810","90","RES SMD 100K OHM 5% 1/4W 0603"
"R27C","100K","BottomLayer","RESC1608N","81.3526","74.8030","90","RES SMD 100K OHM 5% 1/4W 0603"
"R46C","100K","BottomLayer","RESC1608N","82.9110","76.7080","270","RES SMD 100K OHM 5% 1/4W 0603"
"R13D","10K","BottomLayer","RESC1608N","14.7793","5.9097","90","RES SMD 10K OHM 5% 1/10W 0603"
"R14D","560R","BottomLayer","RESC1608N","29.1802","12.2342","360","RES SMD 560 OHM 5% 1/10W 0603"
"R15D","470R","BottomLayer","RESC1608N","29.1802","10.6617","360","RES SMD 470 OHM 5% 1/10W 0603"
"R16D","470R","BottomLayer","RESC1608N","29.1802","9.1367","360","RES SMD 470 OHM 5% 1/10W 0603"
"R24D","100K","BottomLayer","RESC1608N","6.0630","6.0960","180","RES SMD 100K OHM 5% 1/4W 0603"
"R27D","100K","BottomLayer","RESC1608N","10.4243","-2.8647","270","RES SMD 100K OHM 5% 1/4W 0603"
"R46D","100K","BottomLayer","RESC1608N","9.8730","6.0960","360","RES SMD 100K OHM 5% 1/4W 0603"
"R13E","10K","BottomLayer","RESC1608N","52.7793","5.8420","90","RES SMD 10K OHM 5% 1/10W 0603"
"R14E","560R","BottomLayer","RESC1608N","67.9450","12.2340","360","RES SMD 560 OHM 5% 1/10W 0603"
"R15E","470R","BottomLayer","RESC1608N","67.9450","10.6620","360","RES SMD 470 OHM 5% 1/10W 0603"
"R16E","470R","BottomLayer","RESC1608N","67.9450","9.1440","360","RES SMD 470 OHM 5% 1/10W 0603"
"R24E","100K","BottomLayer","RESC1608N","44.0360","6.0960","180","RES SMD 100K OHM 5% 1/4W 0603"
"R27E","100K","BottomLayer","RESC1608N","48.2296","-2.8650","270","RES SMD 100K OHM 5% 1/4W 0603"
"R46E","100K","BottomLayer","RESC1608N","47.8460","6.0960","360","RES SMD 100K OHM 5% 1/4W 0603"
"R13F","10K","BottomLayer","RESC1608N","90.8126","5.8302","90","RES SMD 10K OHM 5% 1/10W 0603"
"R14F","560R","BottomLayer","RESC1608N","105.4227","12.2340","360","RES SMD 560 OHM 5% 1/10W 0603"
"R15F","470R","BottomLayer","RESC1608N","105.4227","10.6620","360","RES SMD 470 OHM 5% 1/10W 0603"
"R16F","470R","BottomLayer","RESC1608N","105.4227","9.1440","360","RES SMD 470 OHM 5% 1/10W 0603"
"R24F","100K","BottomLayer","RESC1608N","82.1360","6.0960","180","RES SMD 100K OHM 5% 1/4W 0603"
"R27F","100K","BottomLayer","RESC1608N","86.3270","-2.8650","270","RES SMD 100K OHM 5% 1/4W 0603"
"R46F","100K","BottomLayer","RESC1608N","85.8807","6.0960","360","RES SMD 100K OHM 5% 1/4W 0603"
"R13G","10K","BottomLayer","RESC1608N","128.7793","5.7733","90","RES SMD 10K OHM 5% 1/10W 0603"
"R14G","560R","BottomLayer","RESC1608N","142.4940","12.2340","360","RES SMD 560 OHM 5% 1/10W 0603"
"R15G","470R","BottomLayer","RESC1608N","142.4940","10.6620","360","RES SMD 470 OHM 5% 1/10W 0603"
"R16G","470R","BottomLayer","RESC1608N","142.4940","9.1440","360","RES SMD 470 OHM 5% 1/10W 0603"
"R24G","100K","BottomLayer","RESC1608N","120.1090","2.9210","180","RES SMD 100K OHM 5% 1/4W 0603"
"R27G","100K","BottomLayer","RESC1608N","121.1250","5.2070","180","RES SMD 100K OHM 5% 1/4W 0603"
"R46G","100K","BottomLayer","RESC1608N","123.7920","2.9210","360","RES SMD 100K OHM 5% 1/4W 0603"
"SW1","TL3315NF100Q","BottomLayer","TL3315","29.0526","107.9500","360","SWITCH TACTILE SPST-NO 0.05A 15V"
"SW2A","TL3305","TopLayer","TL3305","60.7163","76.0347","360","SWITCH TACTILE SPST-NO 50MA 12V"
"SW2B","TL3305","TopLayer","TL3305","75.7163","76.0347","360","SWITCH TACTILE SPST-NO 50MA 12V"
"SW2C","TL3305","TopLayer","TL3305","90.7163","76.0347","360","SWITCH TACTILE SPST-NO 50MA 12V"
"SW2D","TL3305","TopLayer","TL3305","18.7163","0.0000","360","SWITCH TACTILE SPST-NO 50MA 12V"
"SW2E","TL3305","TopLayer","TL3305","56.7163","0.0000","360","SWITCH TACTILE SPST-NO 50MA 12V"
"SW2F","TL3305","TopLayer","TL3305","94.7163","0.0000","360","SWITCH TACTILE SPST-NO 50MA 12V"
"SW2G","TL3305","TopLayer","TL3305","132.7163","0.0000","360","SWITCH TACTILE SPST-NO 50MA 12V"
"U1","LPC1777FBD208","BottomLayer","LQFP-208","75.6590","113.5380","45","IC MCU 32BIT 512KB FLASH 208LQFP"
"U2","MCP6001","BottomLayer","SOT23-5N","32.6175","98.5461","180","IC OPAMP GP 1MHZ RRO SOT23-5"
"U3","PCA9685","TopLayer","SOT788-1","75.1510","34.4170","0","IC LED DRVR LIN DIM 25MA 28HVQFN"
"U4","NCP1117ST50T3G","TopLayer","SOT230P700X180-4N","131.9200","65.7860","360","IC REG LINEAR 5V 1A SOT223"
"U5","NCP1117ST33T3G","TopLayer","SOT230P700X180-4N","141.9530","68.3260","0","IC REG LINEAR 3.3V 1A SOT223"
"VR1A","PTV111-3415A","TopLayer","","18.7163","45.5347","360","POT 10K OHM 1/20W CARBON LINEAR"
"VR1B","PTV111-3415A","TopLayer","","56.7163","45.5347","360","POT 10K OHM 1/20W CARBON LINEAR"
"VR1C","PTV111-3415A","TopLayer","","94.7163","45.5347","360","POT 10K OHM 1/20W CARBON LINEAR"
"VR1D","PTV111-3415A","TopLayer","","132.7163","45.5347","360","POT 10K OHM 1/20W CARBON LINEAR"
"VR1E","PTV111-3415A","TopLayer","","18.7163","16.5347","360","POT 10K OHM 1/20W CARBON LINEAR"
"VR1F","PTV111-3415A","TopLayer","","56.7163","16.5347","360","POT 10K OHM 1/20W CARBON LINEAR"
"VR1G","PTV111-3415A","TopLayer","","94.7163","16.5347","360","POT 10K OHM 1/20W CARBON LINEAR"
"VR1H","PTV111-3415A","TopLayer","","132.7163","16.5347","0","POT 10K OHM 1/20W CARBON LINEAR"
"Y1","12Mhz","BottomLayer","CRYSTAL_HC49SDLF","51.2750","107.5690","315","CRYSTAL 12.0000MHZ 20PF SMD"
